         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1038(argsort)
       27    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:636(__init__)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/formula.py:388(parse2)
        5    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(where)
       84    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3340(_libcint_ctr_coeff)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1176(nelec)
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:2326(nelectron)
       11    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(inv)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1038(tot_electrons)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/__init__.py:37(KRKS)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/krks.py:159(__init__)
        8    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(svd)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/tools/pbc.py:658(cutoff_to_mesh)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:837(exec_module)
        5    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:1012(triu_indices)
       11    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:469(inv)
        3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_parse.py:937(parse)
       15    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:959(_nomalize_contracted_ao)
        7    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:129(gto_norm)
        8    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:1463(svd)
       20    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1626(lattice_vectors)
